Date,US0001M INDEX,FED30D INDEX,USGG10YR INDEX,LF98TRUU Index,MXWO INDEX,SPX INDEX,SPI INDEX,MXNA INDEX,MXJP INDEX,UKX INDEX,MXAS INDEX,MXASJ INDEX
31/12/1987,USD 1M LIBOR,30D FFR,US  10Y,BARC US CORP HY TOT RTN IDFX,,STD POOR IDX,SWISS PERF IDX,North America,Japan,FTSE 100,Asia,Asia Excl Japan
31/1/1988,6.8125%,6.8300%,8.2560%,3.3446%,2.2599%,4.0432%,-1.0313%,3.5638%,5.1744%,-1.9209%,5.3300%,4.9600%
29/2/1988,6.8125%,6.5800%,8.1490%,3.2363%,5.6255%,4.1817%,6.3717%,4.0448%,7.4721%,-0.9828%,7.2724%,0.7241%
31/3/1988,6.8125%,6.5800%,8.5420%,-1.0396%,2.8479%,-3.3343%,0.1707%,-3.0934%,7.6262%,4.7900%,7.4166%,5.1835%
30/4/1988,7.1250%,6.8700%,8.8890%,0.7635%,1.0877%,0.9425%,-1.0269%,0.6586%,0.9090%,2.9875%,1.1123%,4.2086%
31/5/1988,7.6250%,7.0900%,9.1510%,0.1505%,-2.1674%,0.3176%,-3.4862%,0.1896%,-4.5438%,-3.1118%,-4.4247%,-0.8284%
30/6/1988,7.8125%,7.5100%,8.8730%,1.4595%,-0.3101%,4.3256%,1.3782%,4.6273%,-3.7422%,-3.2430%,-3.3592%,8.6060%
31/7/1988,8.1250%,7.7500%,9.1050%,0.6558%,1.7098%,-0.5411%,-1.8929%,-0.7377%,4.1802%,-0.1277%,4.4376%,1.7707%
31/8/1988,8.3750%,8.0100%,9.2360%,-0.1471%,-5.6614%,-3.8600%,-1.3609%,-3.8088%,-7.2729%,-6.9163%,-7.6280%,-8.5971%
30/9/1988,8.3750%,8.1900%,8.9350%,1.2576%,4.0630%,3.9729%,2.9602%,3.7924%,4.7842%,4.6834%,4.1244%,0.4307%
31/10/1988,8.4375%,8.3000%,8.6440%,1.2108%,6.4774%,2.5964%,8.4229%,2.7771%,7.4765%,6.0961%,8.1855%,4.9314%
30/11/1988,9.5625%,8.3500%,9.0540%,0.5905%,3.3111%,-1.8891%,1.6818%,-1.7584%,9.3341%,1.1532%,8.5728%,1.0380%
31/12/1988,9.1875%,8.7600%,9.1370%,0.4696%,0.7396%,1.4688%,-1.8986%,1.4248%,0.4167%,-2.0328%,0.5832%,1.7958%
31/1/1989,9.2500%,9.1200%,8.9800%,1.7629%,3.4545%,7.1115%,-3.0942%,7.3455%,-0.2745%,10.7158%,0.6467%,11.7610%
28/2/1989,10.0625%,9.3600%,9.2950%,0.2197%,-0.7879%,-2.8944%,1.9424%,-3.3010%,2.2741%,-2.9009%,1.7948%,-0.8106%
31/3/1989,10.0625%,9.8500%,9.2750%,-0.7821%,-0.8020%,2.0806%,-2.3126%,1.8617%,-3.5536%,0.1841%,-3.3304%,1.7133%
30/4/1989,9.8750%,9.8400%,9.0530%,0.4218%,2.1414%,5.0090%,3.0254%,4.9113%,0.0847%,2.3593%,0.0525%,6.2513%
31/5/1989,9.6875%,9.8100%,8.6000%,1.9399%,-2.6119%,3.5138%,-4.7291%,3.3236%,-5.2142%,-7.2716%,-5.6489%,-4.6299%
30/6/1989,9.4375%,9.5300%,8.0770%,1.2409%,-1.2920%,-0.7925%,10.6238%,-0.4482%,-5.3752%,0.4351%,-4.6275%,-7.3932%
31/7/1989,8.6875%,9.2400%,7.8040%,-0.1308%,11.1271%,8.8370%,11.1972%,8.7624%,13.4329%,14.7794%,13.0554%,8.6970%
31/8/1989,9.0000%,8.9900%,8.2510%,0.3396%,-2.5706%,1.5517%,-1.1586%,1.2503%,-6.9563%,-2.1578%,-6.7473%,-1.9139%
30/9/1989,9.1250%,9.0200%,8.2860%,-1.6824%,2.6627%,-0.6544%,1.2053%,-0.5896%,6.3845%,-0.4864%,6.3419%,6.3821%
31/10/1989,8.7500%,8.8400%,7.9090%,-2.3701%,-3.4928%,-2.5175%,-5.3714%,-2.3528%,-2.6490%,-9.0865%,-2.6175%,-1.8872%
30/11/1989,8.8125%,8.5500%,7.8260%,-0.1964%,3.8285%,1.6541%,4.4763%,1.7019%,4.9890%,5.5577%,5.0244%,3.9887%
31/12/1989,8.5000%,8.4500%,7.9350%,0.1564%,3.0534%,2.1417%,3.1059%,1.9607%,-0.0060%,9.2538%,-0.0218%,4.5496%
31/1/1990,8.3125%,8.2300%,8.4180%,-2.1464%,-4.8296%,-6.8817%,-0.8420%,-6.9793%,-6.1781%,0.3938%,-5.8032%,-0.3228%
28/2/1990,8.3750%,8.2400%,8.5150%,-2.0648%,-4.4542%,0.8539%,0.2800%,1.0901%,-10.2580%,-3.5328%,-9.7429%,3.7741%
31/3/1990,8.3750%,8.2800%,8.6280%,2.6236%,-6.2164%,2.4255%,-1.9089%,1.9598%,-19.3961%,-2.0853%,-18.4159%,0.2461%
30/4/1990,8.5000%,8.2600%,9.0220%,-0.1691%,-1.6328%,-2.6887%,-0.1641%,-2.7463%,1.1392%,-6.7689%,0.8702%,-4.4121%
31/5/1990,8.2500%,8.1800%,8.5990%,1.9296%,10.3337%,9.1989%,13.7866%,8.8094%,14.0748%,13.9402%,14.0006%,9.6261%
30/6/1990,8.3750%,8.2900%,8.4120%,2.4167%,-0.8932%,-0.8886%,3.0149%,-0.6427%,-4.9807%,5.5423%,-4.3125%,2.1424%
31/7/1990,8.0000%,8.1500%,8.3410%,2.6939%,0.7244%,-0.5223%,3.6316%,-0.2659%,-0.8198%,4.3705%,-0.9338%,5.8560%
31/8/1990,8.0625%,8.1300%,8.8460%,-5.6917%,-9.5482%,-9.4314%,-10.9469%,-9.1294%,-10.1147%,-5.4527%,-10.0991%,-14.5778%
30/9/1990,8.2500%,8.2000%,8.7950%,-7.2991%,-10.7544%,-5.1184%,-11.5926%,-4.9265%,-16.3562%,-8.7625%,-16.3582%,-15.5502%
31/10/1990,8.0000%,8.1100%,8.6170%,-5.2511%,9.0986%,-0.6698%,4.4818%,-0.8398%,24.1939%,6.5621%,22.9726%,6.0719%
30/11/1990,8.7500%,7.8100%,8.2520%,3.1207%,-1.8608%,5.9934%,-1.8244%,5.9507%,-11.7347%,4.8286%,-11.5873%,-3.9083%
31/12/1990,7.6900%,7.3100%,8.0670%,0.5604%,1.8718%,2.4828%,0.5404%,2.5827%,4.6132%,-0.9672%,4.6353%,4.5559%
31/1/1991,6.9375%,6.9100%,8.0070%,2.7474%,3.4364%,4.1518%,3.5567%,4.1144%,2.9119%,3.1867%,2.9570%,5.2096%
28/2/1991,7.0000%,6.2500%,8.0330%,10.9400%,9.0450%,6.7281%,4.3832%,6.6109%,11.9154%,6.6974%,12.5259%,12.0982%
31/3/1991,6.3750%,6.1200%,8.0610%,5.8913%,-3.1331%,2.2203%,-5.1741%,1.9863%,-5.9891%,-6.0936%,-5.5609%,4.3298%
30/4/1991,6.0000%,5.9100%,8.0130%,4.0999%,0.5910%,0.0346%,1.8333%,0.1773%,2.8101%,0.3370%,2.1683%,-1.3797%
31/5/1991,6.0000%,5.7800%,8.0590%,0.1818%,2.0740%,3.8577%,2.2853%,3.8546%,-1.0411%,-1.1000%,-0.3923%,1.1781%
30/6/1991,6.1250%,5.9000%,8.2270%,2.9573%,-6.3562%,-4.7893%,-7.5870%,-4.6864%,-7.1642%,-7.7167%,-6.9373%,-2.9389%
31/7/1991,5.9375%,5.8200%,8.1470%,3.1992%,4.5230%,4.4859%,5.0946%,4.1964%,3.3475%,11.5020%,3.0490%,3.1259%
31/8/1991,5.6875%,5.6600%,7.8160%,2.3000%,-0.5091%,1.9649%,-0.2347%,2.0818%,-5.6697%,1.8687%,-5.3491%,-2.5614%
30/9/1991,5.4375%,5.4500%,7.4450%,1.3930%,2.4256%,-1.9144%,1.3799%,-2.0122%,8.6637%,3.1886%,7.7650%,-3.0534%
31/10/1991,5.1875%,5.2100%,7.4600%,3.3382%,1.4310%,1.1860%,-1.0921%,1.6524%,4.7725%,-2.7842%,4.0570%,1.2610%
30/11/1991,4.7500%,4.8100%,7.3760%,0.5209%,-4.5493%,-4.3928%,-1.6308%,-4.1866%,-7.6074%,-4.1256%,-6.4187%,2.9467%
31/12/1991,4.6875%,4.4300%,6.6990%,1.4386%,7.0741%,11.1588%,7.2220%,10.3605%,3.1475%,9.0021%,3.2227%,4.7478%
31/1/1992,4.1875%,4.0300%,7.2740%,3.5225%,-2.0379%,-1.9900%,0.1454%,-1.7133%,-4.9000%,-1.4542%,-3.6870%,6.8369%
29/2/1992,4.2500%,4.0600%,7.2500%,2.4673%,-1.9163%,0.9565%,-0.4390%,0.7665%,-8.1511%,-2.0151%,-7.3043%,3.3240%
31/3/1992,4.2500%,3.9800%,7.5280%,1.2399%,-4.9028%,-2.1832%,-2.0850%,-2.3271%,-10.7804%,-5.9212%,-9.8585%,-1.0658%
30/4/1992,3.9375%,3.7300%,7.5830%,0.3798%,1.1877%,2.7893%,1.6801%,2.4019%,-6.3266%,11.3135%,-5.1046%,3.3808%
31/5/1992,4.0000%,3.8200%,7.3180%,1.4110%,3.7738%,0.0964%,7.2036%,0.1682%,7.8479%,5.0471%,7.7595%,6.6462%
30/6/1992,3.9375%,3.7600%,7.1210%,0.9416%,-3.5529%,-1.7359%,3.4071%,-1.6628%,-9.1026%,-3.0522%,-7.8373%,1.6661%
31/7/1992,3.3750%,3.2500%,6.7090%,1.5097%,0.0444%,3.9374%,0.9871%,3.8004%,-1.3208%,-3.6990%,-1.4760%,-2.8125%
31/8/1992,3.5000%,3.3000%,6.6040%,1.3103%,2.2194%,-2.3998%,1.5529%,-2.6277%,17.6114%,-0.9106%,14.4997%,-3.5091%
30/9/1992,3.1250%,3.2200%,6.3540%,1.0179%,-1.1231%,0.9106%,5.6887%,0.3165%,-2.6188%,-0.9964%,-1.9325%,1.8089%
31/10/1992,3.2500%,3.1000%,6.7890%,-1.4100%,-2.9085%,0.2106%,-9.4561%,0.4673%,-4.6534%,-8.6940%,-2.9376%,8.7771%
30/11/1992,4.2500%,3.0900%,6.9370%,1.2581%,1.5893%,3.0262%,-4.2662%,2.6257%,2.5358%,1.7562%,1.5889%,-3.7956%
31/12/1992,3.3125%,2.9200%,6.6860%,1.1426%,0.6112%,1.0108%,5.2260%,0.9410%,-1.5419%,1.9907%,-1.7751%,-3.1474%
31/1/1993,3.1875%,3.0200%,6.3590%,2.9081%,0.1408%,0.7046%,0.5441%,0.4923%,-0.3508%,-2.9737%,0.0505%,2.9934%
28/2/1993,3.1875%,3.0300%,6.0200%,1.7634%,2.1775%,1.0484%,-0.8776%,1.3042%,4.0708%,-2.0002%,4.4714%,5.7062%
31/3/1993,3.1875%,3.0700%,6.0240%,1.2863%,5.6087%,1.8697%,7.0212%,1.8606%,14.2578%,6.6398%,11.8970%,-0.2060%
30/4/1993,3.1250%,2.9600%,6.0090%,0.8725%,4.4527%,-2.5417%,2.6024%,-2.1190%,17.5522%,1.5604%,16.5100%,8.5815%
31/5/1993,3.2500%,3.0000%,6.1490%,1.1882%,2.1297%,2.2717%,7.9232%,2.2569%,2.8432%,0.1920%,3.0604%,5.6025%
30/6/1993,3.1875%,3.0400%,5.7760%,2.0990%,-1.0086%,0.0755%,-1.1465%,0.0220%,-3.0075%,-2.5210%,-1.6197%,-2.7666%
31/7/1993,3.1875%,3.0600%,5.8070%,0.9653%,1.8914%,-0.5327%,0.9634%,-0.3733%,7.4232%,0.3250%,5.5063%,0.4345%
31/8/1993,3.1875%,3.0300%,5.4480%,0.8440%,4.4185%,3.4432%,6.8605%,3.2154%,2.5720%,6.6431%,2.8955%,8.1941%
30/9/1993,3.1875%,3.0900%,5.3820%,0.2575%,-2.0081%,-0.9988%,2.9693%,-1.4263%,-5.2387%,-1.7864%,-3.6734%,3.6685%
31/10/1993,3.1875%,2.9900%,5.4270%,2.0256%,2.5920%,1.9393%,4.1730%,1.9430%,-0.2807%,3.2785%,2.2566%,18.2840%
30/11/1993,3.5625%,3.0200%,5.8190%,0.4806%,-5.8144%,-1.2911%,1.5904%,-0.9902%,-16.4514%,0.2621%,-13.9338%,-0.8195%
31/12/1993,3.2500%,2.9600%,5.7940%,1.2442%,4.7262%,1.0091%,8.5835%,1.1868%,2.9284%,7.3385%,7.5830%,24.1858%
31/1/1994,3.1250%,3.0500%,5.6420%,2.1710%,6.4344%,3.2501%,9.4158%,3.5758%,16.8933%,4.1798%,10.5127%,-6.9208%
28/2/1994,3.5625%,3.2500%,6.1290%,-0.2642%,-1.4474%,-3.0045%,-5.8740%,-3.1534%,3.6770%,-6.0417%,2.5579%,-4.4029%
31/3/1994,3.6875%,3.3400%,6.7380%,-3.7753%,-4.4681%,-4.5746%,-1.5260%,-4.5522%,-4.0069%,-7.3561%,-5.6973%,-10.9527%
30/4/1994,4.0000%,3.5600%,7.0420%,-0.6854%,2.9279%,1.1531%,-0.6419%,1.0434%,3.9895%,3.6145%,4.0968%,3.6089%
31/5/1994,4.3750%,4.0100%,7.1470%,0.0520%,0.0988%,1.2397%,0.5652%,1.4118%,2.2361%,-5.4038%,2.4244%,3.6515%
