,Strategic Asset Classes,,,,,,,,,,,,,,,,,,,,,
Name,JPM US CASH 3M - TOT RETURN IND,Barclays Global Aggregate - Government USD - Month-to-Date Rtn - TOTAL RETURN,Barclays Global Aggregate - Corporate USD - Month-to-Date Rtn - TOTAL RETURN,BOFA ML US HY MASTER II ($) - TOT RETURN IND,JPM EMBI GLOBAL COMPOSITE - TOT RETURN IND,SWISS PERFORMANCE INDEX - TOT RETURN IND,MSCI NORTH AMERICA U$ - TOT RETURN IND,MSCI EMU U$ - TOT RETURN IND,MSCI UK U$ - TOT RETURN IND,MSCI PACIFIC U$ - TOT RETURN IND,MSCI EM U$ - TOT RETURN IND,MSCI WORLD :S U$ - TOT RETURN IND,,,,,,,,,,
Code,JPUS3ML(RI),LHGAGOV(TOTR),LHGACRP(TOTR),MLHMAU$(RI),JPMGTOT(RI),SWSPIXD(RI)~U$,MSNAMR$(RI),MSEMUI$(RI),MSUTDK$(RI),MSPACF$(RI),MSEMKF$(RI),MSSWLD$(RI),,,,,,,,,,
CURRENCY,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,,,,,,,,,,
31/7/1998,0.49%,0.36%,-0.08%,0.64%,0.58%,6.19%,-1.24%,3.38%,-2.00%,-1.73%,3.17%,-8.10%,,,,,,,,,,
31/8/1998,0.50%,2.20%,0.63%,-5.05%,-27.34%,-15.57%,-14.22%,-14.37%,-7.24%,-11.81%,-28.91%,-19.42%,,,,,,,,,,
30/9/1998,0.53%,2.74%,3.38%,0.26%,8.64%,-8.51%,6.44%,-3.76%,-2.04%,-0.31%,6.34%,7.83%,,,,,,,,,,
30/10/1998,0.45%,0.26%,-1.50%,-2.16%,6.39%,14.71%,7.84%,7.90%,6.10%,17.34%,10.53%,4.08%,,,,,,,,,,
30/11/1998,0.42%,-0.50%,2.00%,5.21%,6.86%,4.82%,6.69%,6.02%,4.47%,4.61%,8.32%,5.24%,,,,,,,,,,
31/12/1998,0.43%,0.27%,0.28%,-0.18%,-1.93%,2.08%,5.74%,5.70%,3.16%,2.80%,-1.45%,6.19%,,,,,,,,,,
29/1/1999,0.43%,0.51%,0.89%,1.31%,-2.28%,-2.47%,4.46%,-0.60%,-1.03%,0.74%,-1.61%,1.33%,,,,,,,,,,
26/2/1999,0.38%,-1.70%,-2.53%,-0.69%,0.99%,-3.39%,-2.89%,-4.77%,2.22%,-1.94%,0.97%,-8.10%,,,,,,,,,,
31/3/1999,0.47%,0.74%,0.58%,1.21%,6.63%,-0.59%,4.16%,0.29%,3.12%,12.62%,13.18%,1.56%,,,,,,,,,,
30/4/1999,0.43%,0.24%,0.14%,1.83%,6.15%,0.97%,3.85%,2.76%,3.87%,6.70%,12.37%,8.96%,,,,,,,,,,
